collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,CT,09003,48.699999999999996,9.7,170.5,0.0,48.9,48.699999999999996
2020-08-09,CT,09003,29.4,8.1,173.2,0.0,29.4,29.4
2020-08-16,CT,09003,39.5,6.8,169.5,0.0,39.5,39.5
2020-08-23,CT,09003,46.699999999999996,13.0,165.60000000000002,0.0,46.699999999999996,46.699999999999996
2020-08-30,CT,09003,59.8,13.0,165.6,0.0,59.8,59.8
2020-09-06,CT,09003,45.6,13.6,159.0,0.0,45.6,45.6
2020-09-13,CT,09003,57.2,22.799999999999997,166.7,0.0,57.3,57.2
2020-09-20,CT,09003,61.8,19.0,170.9,0.0,61.900000000000006,61.8
2020-09-27,CT,09003,72.2,32.0,176.20000000000002,0.0,72.2,72.2
2020-10-04,CT,09003,72.4,34.6,172.7,0.0,72.4,72.4
2020-10-11,CT,09003,93.6,48.900000000000006,176.3,0.0,94.19999999999999,93.6
2020-10-18,CT,09003,113.9,75.8,174.4,0.0,114.9,113.9
2020-10-25,CT,09003,144.4,108.69999999999999,166.10000000000002,0.0,144.4,144.4
2020-11-01,CT,09003,160.5,110.19999999999999,176.70000000000002,0.0,161.10000000000002,160.5
2020-11-08,CT,09003,191.8,151.6,182.3,0.0,192.0,191.8
2020-11-15,CT,09003,238.3,189.7,181.60000000000002,0.0,238.3,238.3
2020-11-22,CT,09003,288.0,238.0,189.89999999999998,4.0,292.59999999999997,292.0
2020-11-29,CT,09003,342.7,295.79999999999995,191.79999999999998,6.1,349.6,348.8
2020-12-06,CT,09003,367.2,318.9,191.0,9.3,378.0,376.5
2020-12-13,CT,09003,424.20000000000005,367.9,191.29999999999998,6.4,432.79999999999995,430.6
2020-12-20,CT,09003,422.59999999999997,367.3,195.5,0.0,428.8,422.59999999999997
2020-12-27,CT,09003,400.09999999999997,351.79999999999995,198.7,6.3,407.59999999999997,406.4
2021-01-03,CT,09003,396.9,340.4,196.1,0.0,397.9,396.9
2021-01-10,CT,09003,395.2000000000001,349.9,196.20000000000002,0.0,396.40000000000003,395.2000000000001
2021-01-17,CT,09003,363.20000000000005,316.90000000000003,192.0,0.0,363.5,363.20000000000005
2021-01-24,CT,09003,335.20000000000005,299.90000000000003,200.8,0.0,335.6,335.20000000000005
2021-01-31,CT,09003,275.3,240.3,191.8,0.0,275.4,275.3
2021-02-07,CT,09003,222.89999999999998,191.5,189.8,0.0,224.7,222.89999999999998
2021-02-14,CT,09003,180.10000000000002,151.3,183.8,0.0,181.60000000000002,180.10000000000002
2021-02-21,CT,09003,141.0,113.5,185.6,0.0,141.3,141.0
2021-02-28,CT,09003,117.6,93.9,184.2,0.0,118.4,117.6
2021-03-07,CT,09003,101.5,78.30000000000001,180.0,0.0,102.30000000000001,101.5
2021-03-14,CT,09003,96.1,77.60000000000001,189.1,0.0,97.8,96.1
2021-03-21,CT,09003,100.19999999999999,84.30000000000001,196.70000000000002,0.0,100.19999999999999,100.19999999999999
2021-03-28,CT,09003,129.1,114.80000000000001,192.9,0.0,129.3,129.1
2021-04-04,CT,09003,128.29999999999998,112.1,178.0,0.0,128.29999999999998,128.29999999999998
2021-04-11,CT,09003,133.9,110.6,187.1,0.0,133.9,133.9
2021-04-18,CT,09003,116.30000000000001,97.69999999999999,183.3,0.0,116.30000000000001,116.30000000000001
2021-04-25,CT,09003,106.20000000000002,88.5,179.2,0.0,106.20000000000002,106.20000000000002
2021-05-02,CT,09003,97.80000000000001,81.7,175.2,0.0,97.80000000000001,97.80000000000001
2021-05-09,CT,09003,71.3,57.400000000000006,175.20000000000002,0.0,71.5,71.3
2021-05-16,CT,09003,55.9,35.0,175.3,0.0,55.9,55.9
2021-05-23,CT,09003,43.300000000000004,27.200000000000003,177.0,0.0,44.0,43.300000000000004
2021-05-30,CT,09003,31.799999999999997,12.9,169.1,0.0,32.8,31.799999999999997
2021-06-06,CT,09003,37.2,20.1,175.39999999999998,0.0,37.6,37.2
2021-06-13,CT,09003,26.5,14.5,171.6,0.0,26.5,26.5
2021-06-20,CT,09003,18.2,5.7,168.20000000000002,0.0,18.2,18.2
2021-06-27,CT,09003,23.9,12.0,167.60000000000002,0.0,23.9,23.9
2021-07-04,CT,09003,15.0,5.9,159.5,0.0,15.0,15.0
2021-07-11,CT,09003,19.1,6.7,172.70000000000002,0.0,19.1,19.1
2021-07-18,CT,09003,30.700000000000003,16.1,179.6,0.0,30.700000000000003,30.700000000000003
2021-07-25,CT,09003,38.699999999999996,24.5,177.8,0.0,38.699999999999996,38.699999999999996
2021-08-01,CT,09003,51.49999999999999,40.99999999999999,173.79999999999998,0.0,51.699999999999996,51.49999999999999
2021-08-08,CT,09003,75.8,64.4,175.4,0.0,76.4,75.8
2021-08-15,CT,09003,119.5,104.39999999999999,171.6,0.0,119.69999999999999,119.5
2021-08-22,CT,09003,131.70000000000002,120.1,178.89999999999998,0.0,131.70000000000002,131.70000000000002
2021-08-29,CT,09003,131.5,118.8,181.20000000000002,0.0,131.5,131.5
2021-09-05,CT,09003,121.89999999999998,108.0,189.2,0.0,122.39999999999998,121.89999999999998
2021-09-12,CT,09003,119.69999999999999,105.5,188.0,0.0,120.0,119.69999999999999
2021-09-19,CT,09003,99.69999999999999,87.80000000000001,183.0,0.0,100.6,99.69999999999999
2021-09-26,CT,09003,101.4,89.30000000000001,186.8,0.0,102.30000000000001,101.4
2021-10-03,CT,09003,100.0,85.7,181.2,0.0,100.9,100.0
2021-10-10,CT,09003,75.1,59.7,181.9,0.0,75.8,75.1
2021-10-17,CT,09003,75.6,64.9,175.7,0.0,76.1,75.6
2021-10-24,CT,09003,58.1,48.10000000000001,180.1,0.0,58.1,58.1
2021-10-31,CT,09003,68.6,56.7,186.3,0.0,68.6,68.6
2021-11-07,CT,09003,72.10000000000001,62.4,184.20000000000002,0.0,72.10000000000001,72.10000000000001
2021-11-14,CT,09003,71.3,59.599999999999994,183.4,0.0,71.5,71.3
2021-11-21,CT,09003,88.0,75.5,185.1,0.0,89.0,88.0
2021-11-28,CT,09003,132.7,116.6,189.79999999999998,0.0,133.7,132.7
2021-12-05,CT,09003,195.1,175.6,187.6,0.0,196.5,195.1
2021-12-12,CT,09003,243.6,218.0,189.8,0.0,243.6,243.6
2021-12-19,CT,09003,254.4,236.00000000000003,232.2,0.0,254.4,254.4
2021-12-26,CT,09003,325.80000000000007,306.1,247.8,10.3,336.90000000000003,336.1000000000001
