date_T,date_T_minus_20,active_deaths_T,active_cases_T_minus_20,P_ID_estimate
2020-04-10,2020-03-21,0,1.0,0.0
2020-04-11,2020-03-22,0,3.0,0.0
2020-04-12,2020-03-23,0,4.0,0.0
2020-04-13,2020-03-24,0,5.0,0.0
2020-04-14,2020-03-25,0,5.0,0.0
2020-04-15,2020-03-26,0,9.0,0.0
2020-04-16,2020-03-27,0,11.0,0.0
2020-04-17,2020-03-28,0,13.0,0.0
2020-04-18,2020-03-29,1,16.0,0.0625
2020-04-19,2020-03-30,0,18.0,0.0
2020-04-20,2020-03-31,0,20.0,0.0
2020-04-21,2020-04-01,0,22.0,0.0
2020-04-22,2020-04-02,0,29.0,0.0
2020-04-23,2020-04-03,0,31.0,0.0
2020-04-24,2020-04-04,0,30.0,0.0
2020-04-25,2020-04-05,0,33.0,0.0
2020-04-26,2020-04-06,0,34.0,0.0
2020-04-27,2020-04-07,0,35.0,0.0
2020-04-28,2020-04-08,0,36.0,0.0
2020-04-29,2020-04-09,0,37.0,0.0
2020-04-30,2020-04-10,0,37.0,0.0
2020-05-01,2020-04-11,0,36.0,0.0
2020-05-02,2020-04-12,0,37.0,0.0
2020-05-03,2020-04-13,0,39.0,0.0
2020-05-04,2020-04-14,0,37.0,0.0
2020-05-05,2020-04-15,0,40.0,0.0
2020-05-06,2020-04-16,0,38.0,0.0
2020-05-07,2020-04-17,0,37.0,0.0
2020-05-08,2020-04-18,0,39.0,0.0
2020-05-09,2020-04-19,0,35.0,0.0
2020-05-10,2020-04-20,0,33.0,0.0
2020-05-11,2020-04-21,0,31.0,0.0
2020-05-12,2020-04-22,1,30.0,0.03333333333333333
2020-05-13,2020-04-23,0,25.0,0.0
2020-05-14,2020-04-24,0,26.0,0.0
2020-05-15,2020-04-25,0,28.0,0.0
2020-05-16,2020-04-26,0,25.0,0.0
2020-05-17,2020-04-27,0,20.0,0.0
2020-05-18,2020-04-28,0,20.0,0.0
2020-05-19,2020-04-29,0,15.0,0.0
2020-05-20,2020-04-30,0,10.0,0.0
2020-05-21,2020-05-01,0,9.0,0.0
2020-05-22,2020-05-02,0,7.0,0.0
2020-05-23,2020-05-03,1,6.0,0.16666666666666666
2020-05-24,2020-05-04,0,6.0,0.0
2020-05-25,2020-05-05,0,7.0,0.0
2020-05-26,2020-05-06,0,9.0,0.0
2020-05-27,2020-05-07,1,7.0,0.14285714285714285
2020-05-28,2020-05-08,1,6.0,0.16666666666666666
2020-05-29,2020-05-09,0,5.0,0.0
2020-05-30,2020-05-10,0,4.0,0.0
2020-05-31,2020-05-11,0,8.0,0.0
2020-06-01,2020-05-12,0,9.0,0.0
2020-06-02,2020-05-13,0,10.0,0.0
2020-06-03,2020-05-14,0,15.0,0.0
2020-06-04,2020-05-15,0,23.0,0.0
2020-06-05,2020-05-16,1,36.0,0.027777777777777776
2020-06-06,2020-05-17,0,38.0,0.0
2020-06-07,2020-05-18,0,46.0,0.0
2020-06-08,2020-05-19,0,50.0,0.0
2020-06-09,2020-05-20,0,59.0,0.0
2020-06-10,2020-05-21,0,65.0,0.0
2020-06-11,2020-05-22,0,63.0,0.0
2020-06-12,2020-05-23,0,69.0,0.0
2020-06-13,2020-05-24,0,71.0,0.0
2020-06-14,2020-05-25,0,68.0,0.0
2020-06-15,2020-05-26,0,73.0,0.0
2020-06-16,2020-05-27,1,76.0,0.013157894736842105
2020-06-17,2020-05-28,0,74.0,0.0
2020-06-18,2020-05-29,0,65.0,0.0
2020-06-19,2020-05-30,0,55.0,0.0
2020-06-20,2020-05-31,0,63.0,0.0
2020-06-21,2020-06-01,0,68.0,0.0
2020-06-22,2020-06-02,0,63.0,0.0
2020-06-23,2020-06-03,0,55.0,0.0
2020-06-24,2020-06-04,0,55.0,0.0
2020-06-25,2020-06-05,0,56.0,0.0
2020-06-26,2020-06-06,0,49.0,0.0
2020-06-27,2020-06-07,0,49.0,0.0
2020-06-28,2020-06-08,0,62.0,0.0
2020-06-29,2020-06-09,0,62.0,0.0
2020-06-30,2020-06-10,0,59.0,0.0
2020-07-01,2020-06-11,0,56.0,0.0
2020-07-02,2020-06-12,0,71.0,0.0
2020-07-03,2020-06-13,0,78.0,0.0
2020-07-04,2020-06-14,0,75.0,0.0
2020-07-05,2020-06-15,0,75.0,0.0
2020-07-06,2020-06-16,0,78.0,0.0
2020-07-07,2020-06-17,1,82.0,0.012195121951219513
2020-07-08,2020-06-18,0,78.0,0.0
2020-07-09,2020-06-19,0,77.0,0.0
2020-07-10,2020-06-20,0,76.0,0.0
2020-07-11,2020-06-21,3,74.0,0.04054054054054054
2020-07-12,2020-06-22,0,87.0,0.0
2020-07-13,2020-06-23,0,102.0,0.0
2020-07-14,2020-06-24,1,107.0,0.009345794392523364
2020-07-15,2020-06-25,1,147.0,0.006802721088435374
2020-07-16,2020-06-26,1,143.0,0.006993006993006993
2020-07-17,2020-06-27,1,157.0,0.006369426751592357
2020-07-18,2020-06-28,0,166.0,0.0
2020-07-19,2020-06-29,1,161.0,0.006211180124223602
2020-07-20,2020-06-30,0,196.0,0.0
2020-07-21,2020-07-01,1,220.0,0.004545454545454545
2020-07-22,2020-07-02,1,236.0,0.00423728813559322
2020-07-23,2020-07-03,0,255.0,0.0
2020-07-24,2020-07-04,3,302.0,0.009933774834437087
2020-07-25,2020-07-05,0,308.0,0.0
2020-07-26,2020-07-06,1,289.0,0.0034602076124567475
2020-07-27,2020-07-07,0,294.0,0.0
2020-07-28,2020-07-08,1,297.0,0.003367003367003367
2020-07-29,2020-07-09,1,274.0,0.0036496350364963502
2020-07-30,2020-07-10,2,321.0,0.006230529595015576
2020-07-31,2020-07-11,4,319.0,0.012539184952978056
2020-08-01,2020-07-12,0,318.0,0.0
2020-08-02,2020-07-13,0,326.0,0.0
2020-08-03,2020-07-14,0,317.0,0.0
2020-08-04,2020-07-15,1,310.0,0.0032258064516129032
2020-08-05,2020-07-16,2,364.0,0.005494505494505495
2020-08-06,2020-07-17,2,387.0,0.00516795865633075
2020-08-07,2020-07-18,3,362.0,0.008287292817679558
2020-08-08,2020-07-19,1,369.0,0.0027100271002710027
2020-08-09,2020-07-20,0,465.0,0.0
2020-08-10,2020-07-21,1,488.0,0.0020491803278688526
2020-08-11,2020-07-22,0,502.0,0.0
2020-08-12,2020-07-23,2,495.0,0.00404040404040404
2020-08-13,2020-07-24,1,508.0,0.001968503937007874
2020-08-14,2020-07-25,1,539.0,0.0018552875695732839
2020-08-15,2020-07-26,0,548.0,0.0
2020-08-16,2020-07-27,0,530.0,0.0
2020-08-17,2020-07-28,0,514.0,0.0
2020-08-18,2020-07-29,2,516.0,0.003875968992248062
2020-08-19,2020-07-30,3,513.0,0.005847953216374269
2020-08-20,2020-07-31,5,501.0,0.00998003992015968
2020-08-21,2020-08-01,0,517.0,0.0
2020-08-22,2020-08-02,0,527.0,0.0
2020-08-23,2020-08-03,0,436.0,0.0
2020-08-24,2020-08-04,1,419.0,0.002386634844868735
2020-08-25,2020-08-05,0,420.0,0.0
2020-08-26,2020-08-06,2,444.0,0.0045045045045045045
2020-08-27,2020-08-07,0,398.0,0.0
2020-08-28,2020-08-08,1,385.0,0.0025974025974025974
2020-08-29,2020-08-09,0,378.0,0.0
2020-08-30,2020-08-10,0,406.0,0.0
2020-08-31,2020-08-11,1,405.0,0.0024691358024691358
2020-09-01,2020-08-12,1,400.0,0.0025
2020-09-02,2020-08-13,2,350.0,0.005714285714285714
2020-09-03,2020-08-14,0,352.0,0.0
2020-09-04,2020-08-15,0,354.0,0.0
2020-09-05,2020-08-16,2,337.0,0.005934718100890208
2020-09-06,2020-08-17,1,326.0,0.003067484662576687
2020-09-07,2020-08-18,0,310.0,0.0
2020-09-08,2020-08-19,0,306.0,0.0
2020-09-09,2020-08-20,1,286.0,0.0034965034965034965
2020-09-10,2020-08-21,2,278.0,0.007194244604316547
2020-09-11,2020-08-22,0,253.0,0.0
2020-09-12,2020-08-23,0,249.0,0.0
2020-09-13,2020-08-24,1,241.0,0.004149377593360996
2020-09-14,2020-08-25,0,243.0,0.0
2020-09-15,2020-08-26,0,242.0,0.0
2020-09-16,2020-08-27,0,225.0,0.0
2020-09-17,2020-08-28,0,203.0,0.0
2020-09-18,2020-08-29,0,171.0,0.0
2020-09-19,2020-08-30,0,166.0,0.0
2020-09-20,2020-08-31,0,171.0,0.0
2020-09-21,2020-09-01,0,173.0,0.0
2020-09-22,2020-09-02,0,164.0,0.0
2020-09-23,2020-09-03,1,170.0,0.0058823529411764705
2020-09-24,2020-09-04,0,178.0,0.0
2020-09-25,2020-09-05,0,172.0,0.0
2020-09-26,2020-09-06,5,165.0,0.030303030303030304
2020-09-27,2020-09-07,0,148.0,0.0
2020-09-28,2020-09-08,0,136.0,0.0
2020-09-29,2020-09-09,2,122.0,0.01639344262295082
2020-09-30,2020-09-10,0,126.0,0.0
2020-10-01,2020-09-11,1,130.0,0.007692307692307693
2020-10-02,2020-09-12,2,139.0,0.014388489208633094
2020-10-03,2020-09-13,2,140.0,0.014285714285714285
2020-10-04,2020-09-14,0,137.0,0.0
2020-10-05,2020-09-15,0,121.0,0.0
2020-10-06,2020-09-16,0,129.0,0.0
2020-10-07,2020-09-17,2,118.0,0.01694915254237288
2020-10-08,2020-09-18,0,101.0,0.0
2020-10-09,2020-09-19,0,103.0,0.0
2020-10-10,2020-09-20,2,102.0,0.0196078431372549
2020-10-11,2020-09-21,0,103.0,0.0
2020-10-12,2020-09-22,0,106.0,0.0
2020-10-13,2020-09-23,3,111.0,0.02702702702702703
2020-10-14,2020-09-24,2,129.0,0.015503875968992248
2020-10-15,2020-09-25,2,134.0,0.014925373134328358
2020-10-16,2020-09-26,0,138.0,0.0
2020-10-17,2020-09-27,2,136.0,0.014705882352941176
2020-10-18,2020-09-28,0,133.0,0.0
2020-10-19,2020-09-29,0,135.0,0.0
2020-10-20,2020-09-30,0,131.0,0.0
2020-10-21,2020-10-01,2,136.0,0.014705882352941176
2020-10-22,2020-10-02,0,142.0,0.0
2020-10-23,2020-10-03,0,138.0,0.0
2020-10-24,2020-10-04,0,138.0,0.0
2020-10-25,2020-10-05,0,138.0,0.0
2020-10-26,2020-10-06,0,152.0,0.0
2020-10-27,2020-10-07,0,154.0,0.0
2020-10-28,2020-10-08,1,141.0,0.0070921985815602835
2020-10-29,2020-10-09,0,128.0,0.0
2020-10-30,2020-10-10,0,130.0,0.0
2020-10-31,2020-10-11,0,141.0,0.0
2020-11-01,2020-10-12,0,143.0,0.0
2020-11-02,2020-10-13,0,159.0,0.0
2020-11-03,2020-10-14,0,178.0,0.0
2020-11-04,2020-10-15,2,185.0,0.010810810810810811
2020-11-05,2020-10-16,2,188.0,0.010638297872340425
2020-11-06,2020-10-17,1,194.0,0.005154639175257732
2020-11-07,2020-10-18,0,189.0,0.0
2020-11-08,2020-10-19,0,195.0,0.0
2020-11-09,2020-10-20,0,183.0,0.0
2020-11-10,2020-10-21,0,186.0,0.0
2020-11-11,2020-10-22,0,191.0,0.0
2020-11-12,2020-10-23,0,198.0,0.0
2020-11-13,2020-10-24,0,194.0,0.0
2020-11-14,2020-10-25,0,183.0,0.0
2020-11-15,2020-10-26,0,190.0,0.0
2020-11-16,2020-10-27,0,181.0,0.0
2020-11-17,2020-10-28,0,171.0,0.0
2020-11-18,2020-10-29,2,167.0,0.011976047904191617
2020-11-19,2020-10-30,-1,174.0,-0.005747126436781609
2020-11-20,2020-10-31,0,182.0,0.0
2020-11-21,2020-11-01,0,183.0,0.0
2020-11-22,2020-11-02,0,177.0,0.0
2020-11-23,2020-11-03,0,173.0,0.0
2020-11-24,2020-11-04,1,173.0,0.005780346820809248
2020-11-25,2020-11-05,0,200.0,0.0
2020-11-26,2020-11-06,0,196.0,0.0
2020-11-27,2020-11-07,0,183.0,0.0
2020-11-28,2020-11-08,0,191.0,0.0
2020-11-29,2020-11-09,1,185.0,0.005405405405405406
2020-11-30,2020-11-10,0,184.0,0.0
2020-12-01,2020-11-11,0,196.0,0.0
2020-12-02,2020-11-12,0,199.0,0.0
2020-12-03,2020-11-13,0,193.0,0.0
2020-12-04,2020-11-14,0,185.0,0.0
2020-12-05,2020-11-15,0,200.0,0.0
2020-12-06,2020-11-16,0,210.0,0.0
2020-12-07,2020-11-17,0,214.0,0.0
2020-12-08,2020-11-18,0,238.0,0.0
2020-12-09,2020-11-19,0,230.0,0.0
2020-12-10,2020-11-20,0,242.0,0.0
2020-12-11,2020-11-21,0,268.0,0.0
2020-12-12,2020-11-22,0,269.0,0.0
2020-12-13,2020-11-23,1,311.0,0.003215434083601286
2020-12-14,2020-11-24,0,310.0,0.0
2020-12-15,2020-11-25,0,299.0,0.0
2020-12-16,2020-11-26,1,310.0,0.0032258064516129032
2020-12-17,2020-11-27,0,301.0,0.0
2020-12-18,2020-11-28,1,306.0,0.0032679738562091504
2020-12-19,2020-11-29,0,308.0,0.0
2020-12-20,2020-11-30,0,340.0,0.0
2020-12-21,2020-12-01,0,338.0,0.0
2020-12-22,2020-12-02,1,373.0,0.002680965147453083
2020-12-23,2020-12-03,0,386.0,0.0
2020-12-24,2020-12-04,0,419.0,0.0
2020-12-25,2020-12-05,0,408.0,0.0
2020-12-26,2020-12-06,0,410.0,0.0
2020-12-27,2020-12-07,2,371.0,0.005390835579514825
2020-12-28,2020-12-08,0,389.0,0.0
2020-12-29,2020-12-09,2,401.0,0.004987531172069825
2020-12-30,2020-12-10,0,411.0,0.0
2020-12-31,2020-12-11,0,431.0,0.0
2021-01-01,2020-12-12,0,453.0,0.0
2021-01-02,2020-12-13,0,448.0,0.0
2021-01-03,2020-12-14,1,419.0,0.002386634844868735
2021-01-04,2020-12-15,0,451.0,0.0
2021-01-05,2020-12-16,2,417.0,0.004796163069544364
2021-01-06,2020-12-17,0,387.0,0.0
2021-01-07,2020-12-18,0,357.0,0.0
2021-01-08,2020-12-19,0,373.0,0.0
2021-01-09,2020-12-20,0,386.0,0.0
2021-01-10,2020-12-21,0,401.0,0.0
2021-01-11,2020-12-22,0,411.0,0.0
2021-01-12,2020-12-23,2,406.0,0.0049261083743842365
2021-01-13,2020-12-24,0,407.0,0.0
2021-01-14,2020-12-25,1,472.0,0.00211864406779661
2021-01-15,2020-12-26,0,443.0,0.0
2021-01-16,2020-12-27,1,465.0,0.002150537634408602
2021-01-17,2020-12-28,0,511.0,0.0
2021-01-18,2020-12-29,0,499.0,0.0
2021-01-19,2020-12-30,1,493.0,0.002028397565922921
2021-01-20,2020-12-31,0,505.0,0.0
2021-01-21,2021-01-01,0,544.0,0.0
2021-01-22,2021-01-02,1,560.0,0.0017857142857142857
2021-01-23,2021-01-03,0,620.0,0.0
2021-01-24,2021-01-04,0,627.0,0.0
2021-01-25,2021-01-05,0,607.0,0.0
2021-01-26,2021-01-06,0,597.0,0.0
2021-01-27,2021-01-07,0,607.0,0.0
2021-01-28,2021-01-08,0,523.0,0.0
2021-01-29,2021-01-09,0,546.0,0.0
2021-01-30,2021-01-10,0,529.0,0.0
2021-01-31,2021-01-11,0,478.0,0.0
2021-02-01,2021-01-12,0,469.0,0.0
2021-02-02,2021-01-13,0,451.0,0.0
2021-02-03,2021-01-14,0,441.0,0.0
2021-02-04,2021-01-15,0,412.0,0.0
2021-02-05,2021-01-16,0,395.0,0.0
2021-02-06,2021-01-17,0,318.0,0.0
